Time (seconds),accel_x,accel_y,accel_z,distance_cm
1.72,12,1076,8,42.74914
2.23,12,608,-596,37.18213
2.74,488,1512,-244,26.1512
3.25,216,1932,816,12.81787
3.76,140,1748,-1012,64.58763
4.30,8,1068,-52,-1
4.81,8,1036,-16,153.8144
5.32,-52,1140,-432,15.84193
5.84,200,928,272,9.828178
6.36,-96,904,96,8.71134
6.86,16,1072,0,8.745705
7.37,-104,1352,-16,3.006873
8.92,196,520,-448,5.601375
9.43,216,224,612,5.0
10.98,316,664,328,14.77663
11.48,-8,836,192,6.28866
11.99,144,1356,20,52.43986
12.50,40,1064,-4,3.986254
14.05,272,964,108,9.054983
14.57,532,936,100,3.642612
16.12,-256,588,-840,4.072165
17.67,-8,780,120,51.23712
18.18,296,1680,736,6.460481
18.69,112,1532,364,4.501718
20.24,100,1032,200,13.04124
20.75,12,1768,196,5.756014
21.26,172,868,-140,6.632302
21.76,352,636,-808,3.865979
23.33,84,520,-156,2.42268
24.88,-20,-100,980,4.845361
26.43,-12,260,-312,51.56357
26.93,-304,1188,-4,4.810997
28.48,-52,336,1004,17.3024
28.99,-216,1744,32,3.95189
30.54,-128,1564,196,5.257732
31.05,164,1520,-396,4.415808
32.60,88,1696,-516,21.06529
33.13,-4,604,752,5.515464
33.64,24,1528,456,4.003437
35.18,-292,1812,-284,5.773196
35.69,-184,1672,-884,5.343643
36.20,-136,1652,-196,6.237113
36.71,260,700,-1200,3.092783
38.26,-148,736,-140,11.71821
38.76,96,2020,-348,7.216495
39.27,136,-160,728,4.501718
40.84,88,968,116,53.53952
41.35,328,816,-296,3.402062
42.90,72,828,336,4.501718
44.45,92,1816,-280,4.43299
46.00,280,592,-264,5.446735
46.50,244,964,-164,4.295533
48.05,8,320,-268,6.099656
48.56,-284,1508,-424,4.587629
50.11,312,764,-188,7.09622
50.64,140,1012,-588,5.584192
51.15,20,1476,-492,4.810997
52.70,32,1692,-540,46.68385
53.20,88,548,-424,34.69072
53.71,16,1060,8,62.47423
