Time (seconds),time_ms,distance_cm,action
0.98,0,473.0412,forward
1.21,264,53.23024,forward
1.47,524,61.21993,forward
1.71,760,56.28866,forward
1.95,1000,101.4433,forward
2.21,1264,42.95533,forward
2.47,1517,64.08935,forward
2.71,1759,5.859107,backward
2.96,2016,17.50859,backward
3.20,2254,34.60481,forward
3.46,2516,17.49141,backward
3.70,2753,4.845361,backward
3.95,3001,17.33677,backward
4.21,3266,4.828178,backward
4.46,3512,3.917526,backward
4.71,3761,3.213058,backward
4.96,4008,3.230241,backward
5.21,4258,3.642612,backward
5.45,4503,5.446735,backward
5.70,4754,4.484536,backward
5.96,5012,7.216495,backward
6.21,5264,6.271478,backward
6.46,5514,6.357388,backward
6.71,5762,5.927835,backward
6.96,6010,4.329897,backward
7.21,6258,4.329897,backward
7.45,6507,5.171821,backward
1.36,0,20.20618,safe_zone
1.62,263,19.02062,backward
1.87,516,22.50859,safe_zone
2.12,764,25.73883,forward
2.37,1008,21.64948,safe_zone
2.62,1263,21.06529,safe_zone
2.87,1513,20.63574,safe_zone
3.12,1764,20.22337,safe_zone
3.36,2007,19.5189,backward
3.61,2256,20.72165,safe_zone
3.87,2510,20.10309,safe_zone
4.12,2763,20.12028,safe_zone
4.37,3014,20.32646,safe_zone
4.62,3265,25.91065,forward
4.88,3520,53.23024,forward
5.13,3771,19.26117,backward
5.36,4000,51.75258,forward
5.63,4271,64.15807,forward
5.86,4503,17.38832,backward
6.13,4769,19.60481,backward
6.36,5000,64.57044,forward
6.61,5253,17.23368,backward
6.88,5522,18.00687,backward
7.13,5770,18.72852,backward
7.38,6020,52.28522,forward
7.63,6274,64.65636,forward
7.87,6507,63.12715,forward
8.13,6766,65.53265,forward
8.37,7010,19.0378,backward
8.62,7260,19.26117,backward
8.87,7513,18.86598,backward
9.12,7759,34.53608,forward
9.37,8017,20.54983,safe_zone
9.63,8277,30.53265,forward
9.88,8523,60.75601,forward
10.13,8773,25.92784,forward
10.40,9014,427.5945,forward
10.62,9258,69.69072,forward
10.90,9510,0,backward
11.12,9759,63.38488,forward
11.39,10007,0,backward
11.66,10272,0,backward
11.92,10531,0,backward
12.14,10776,162.1134,forward
12.39,11031,67.1134,forward
12.64,11253,0,backward
12.89,11522,217.2165,forward
13.12,11758,52.01031,forward
13.40,12011,0,backward
13.63,12258,313.7457,forward
13.88,12520,8.419244,backward
14.11,12752,7.955327,backward
14.36,13005,8.419244,backward
1.36,0,19.02062,backward
1.62,260,20.20618,safe_zone
1.87,513,21.49484,safe_zone
2.13,767,22.93814,safe_zone
2.38,1021,22.90378,safe_zone
2.61,1251,22.90378,safe_zone
2.87,1504,22.49141,safe_zone
3.12,1761,22.50859,safe_zone
3.38,2017,22.50859,safe_zone
3.64,2274,23.43643,safe_zone
3.86,2500,25.20618,forward
4.13,2768,23.17869,safe_zone
4.38,3021,23.10997,safe_zone
4.63,3273,23.19587,safe_zone
4.87,3505,23.52234,safe_zone
5.12,3761,23.50515,safe_zone
5.38,4016,25.68728,forward
5.62,4260,23.74571,safe_zone
5.87,4511,23.24742,safe_zone
6.13,4764,23.17869,safe_zone
6.38,5022,22.50859,safe_zone
6.63,5269,22.49141,safe_zone
6.88,5523,22.45704,safe_zone
7.12,5754,21.21993,safe_zone
7.38,6023,18.16151,backward
7.62,6261,20.30928,safe_zone
7.88,6514,20.63574,safe_zone
8.13,6770,22.14777,safe_zone
8.36,7000,20.80756,safe_zone
8.63,7269,20.05155,safe_zone
8.86,7503,19.86254,backward
9.13,7768,19.79381,backward
9.37,8013,20.20618,safe_zone
9.63,8265,20.36083,safe_zone
9.88,8519,20.08591,safe_zone
10.13,8769,19.96564,backward
10.38,9017,20.2921,safe_zone
10.64,9273,20.30928,safe_zone
10.86,9501,20.30928,safe_zone
11.11,9752,20.30928,safe_zone
11.37,10005,20.36083,safe_zone
11.62,10259,20.65292,safe_zone
11.87,10505,20.10309,safe_zone
12.12,10757,20.12028,safe_zone
12.37,11011,21.03093,safe_zone
12.62,11263,20.12028,safe_zone
12.88,11516,20.10309,safe_zone
13.12,11756,19.91409,backward
13.37,12006,20.53265,safe_zone
13.62,12261,20.13746,safe_zone
13.88,12516,20.08591,safe_zone
14.13,12765,20.12028,safe_zone
14.38,13019,20.10309,safe_zone
14.63,13269,20.13746,safe_zone
14.88,13521,20.12028,safe_zone
15.13,13770,19.96564,backward
15.38,14019,20.37801,safe_zone
15.63,14272,20.34364,safe_zone
15.88,14520,20.20618,safe_zone
16.14,14774,20.13746,safe_zone
16.38,15020,20.12028,safe_zone
16.63,15267,19.65636,backward
16.88,15518,20.20618,safe_zone
17.12,15760,20.68728,safe_zone
17.37,16006,21.90722,safe_zone
17.63,16270,23.33333,safe_zone
17.88,16519,25.89347,forward
18.13,16770,23.28179,safe_zone
18.36,17001,23.41924,safe_zone
18.62,17259,25.36083,forward
18.87,17512,24.62199,safe_zone
19.12,17760,24.98282,safe_zone
19.36,18000,24.3299,safe_zone
19.61,18253,24.86254,safe_zone
19.86,18501,22.85223,safe_zone
20.12,18758,22.66323,safe_zone
20.37,19013,21.04811,safe_zone
20.62,19264,18.8488,backward
20.87,19505,19.79381,backward
21.13,19772,20.0,safe_zone
21.38,20019,19.84536,backward
21.63,20265,20.03437,safe_zone
21.88,20517,20.20618,safe_zone
22.13,20772,20.72165,safe_zone
22.36,21001,20.12028,safe_zone
22.63,21272,19.91409,backward
22.88,21522,20.01718,safe_zone
23.13,21771,20.27491,safe_zone
23.38,22022,20.36083,safe_zone
23.63,22272,20.53265,safe_zone
23.86,22500,20.189,safe_zone
24.11,22752,20.189,safe_zone
24.36,23001,19.96564,backward
24.61,23251,20.53265,safe_zone
24.86,23502,19.69072,backward
25.13,23769,20.2921,safe_zone
25.38,24019,20.34364,safe_zone
25.63,24269,20.20618,safe_zone
25.88,24520,19.5189,backward
26.13,24765,20.63574,safe_zone
26.38,25018,20.27491,safe_zone
26.62,25264,19.75945,backward
26.87,25513,20.03437,safe_zone
27.12,25765,19.7079,backward
27.37,26013,20.03437,safe_zone
27.63,26265,20.12028,safe_zone
27.87,26514,20.20618,safe_zone
28.13,26769,20.89347,safe_zone
28.38,27023,20.84193,safe_zone
28.61,27252,22.13058,safe_zone
28.86,27503,20.36083,safe_zone
29.11,27750,19.53608,backward
29.38,28017,20.30928,safe_zone
29.63,28274,20.03437,safe_zone
29.88,28519,19.86254,backward
30.13,28771,22.4055,safe_zone
30.38,29023,19.72509,backward
30.63,29271,20.189,safe_zone
30.88,29515,20.13746,safe_zone
31.12,29761,19.94845,backward
31.36,30001,20.2921,safe_zone
31.62,30259,21.13402,safe_zone
31.87,30509,19.26117,backward
32.11,30752,20.61856,safe_zone
32.37,31004,20.42955,safe_zone
32.62,31260,21.4433,safe_zone
32.88,31514,23.0756,safe_zone
33.13,31769,24.27835,safe_zone
33.36,32002,25.05155,forward
33.61,32250,24.7079,safe_zone
33.86,32504,25.17182,forward
34.13,32772,24.93127,safe_zone
34.38,33017,24.94845,safe_zone
34.63,33267,24.84536,safe_zone
34.87,33515,25.17182,forward
35.12,33761,24.62199,safe_zone
35.38,34019,23.83162,safe_zone
35.63,34270,22.66323,safe_zone
35.88,34523,21.70103,safe_zone
36.14,34774,21.30584,safe_zone
36.36,35003,21.6323,safe_zone
36.62,35256,21.40893,safe_zone
36.87,35512,21.71821,safe_zone
37.13,35765,20.44674,safe_zone
37.38,36016,18.76289,backward
37.62,36259,20.54983,safe_zone
37.87,36513,20.65292,safe_zone
38.13,36767,21.35739,safe_zone
38.38,37016,22.47423,safe_zone
38.62,37261,20.37801,safe_zone
38.88,37514,20.36083,safe_zone
39.13,37767,22.07904,safe_zone
39.37,38013,19.77663,backward
39.62,38256,20.08591,safe_zone
39.87,38505,20.12028,safe_zone
40.12,38755,20.17182,safe_zone
40.36,39000,19.45017,backward
40.63,39272,19.91409,backward
40.86,39500,20.17182,safe_zone
41.13,39771,20.42955,safe_zone
1.36,0,17.4055,backward
1.62,260,19.94845,backward
1.87,513,20.63574,safe_zone
2.13,767,20.46392,safe_zone
2.38,1017,21.23711,safe_zone
2.62,1260,21.16838,safe_zone
2.88,1515,24.39862,safe_zone
3.12,1763,24.94845,safe_zone
3.37,2012,26.49484,forward
3.62,2262,23.35052,safe_zone
3.88,2517,23.86598,safe_zone
4.13,2766,25.41237,forward
4.37,3010,26.94158,forward
4.62,3258,25.20618,forward
4.87,3504,24.02062,safe_zone
5.12,3762,23.60825,safe_zone
5.38,4017,22.07904,safe_zone
5.63,4269,19.46735,backward
5.86,4505,17.23368,backward
6.12,4763,16.80412,backward
