Time (seconds),time_ms,value,label
18.75,17547,0,quiet
18.86,17653,0,quiet
18.96,17757,0,quiet
19.07,17861,0,quiet
19.17,17965,0,quiet
19.27,18069,0,quiet
19.38,18173,0,quiet
19.48,18277,0,quiet
19.59,18381,0,quiet
19.69,18485,0,quiet
19.79,18589,0,quiet
19.90,18693,0,quiet
20.02,18817,0,quiet
20.13,18921,0,quiet
20.23,19025,0,quiet
20.33,19130,0,quiet
20.44,19237,0,quiet
20.55,19341,0,quiet
20.65,19445,0,quiet
20.75,19549,0,quiet
20.86,19654,0,quiet
20.97,19761,0,quiet
21.07,19865,0,quiet
21.17,19969,0,quiet
21.30,20097,36,quiet
21.41,20201,118,quiet
21.51,20305,0,quiet
21.61,20409,17,quiet
21.72,20513,0,quiet
21.82,20617,0,quiet
21.93,20721,0,quiet
22.03,20825,0,quiet
22.13,20929,0,quiet
22.24,21038,0,quiet
22.35,21145,0,quiet
22.45,21249,0,quiet
22.56,21353,0,quiet
22.69,21482,0,quiet
22.79,21589,0,quiet
22.90,21693,0,quiet
23.00,21797,0,quiet
23.11,21901,0,quiet
23.21,22005,0,quiet
23.31,22110,0,quiet
23.42,22217,0,quiet
23.53,22321,0,quiet
23.63,22425,0,quiet
23.73,22529,0,quiet
23.84,22633,0,quiet
23.94,22737,0,quiet
24.07,22861,0,quiet
24.17,22965,1,quiet
24.27,23069,0,quiet
24.38,23173,26,quiet
24.48,23277,11,quiet
24.59,23381,23,quiet
24.69,23485,43,quiet
24.79,23589,13,quiet
24.90,23693,4,quiet
25.00,23797,7,quiet
25.11,23901,0,quiet
25.21,24005,0,quiet
25.34,24133,0,quiet
25.44,24237,0,quiet
25.55,24341,0,quiet
25.65,24445,0,quiet
25.75,24550,0,quiet
25.86,24657,0,quiet
25.97,24761,50,quiet
26.07,24865,45,quiet
26.17,24969,72,quiet
26.28,25074,0,quiet
26.39,25181,11,quiet
26.49,25285,0,quiet
26.59,25389,0,quiet
26.72,25513,0,medium
26.82,25617,0,medium
26.93,25721,0,medium
27.03,25825,158,medium
27.13,25929,139,medium
27.24,26033,0,medium
27.34,26138,44,medium
27.45,26245,46,medium
27.55,26349,69,medium
27.66,26453,0,medium
27.76,26558,0,medium
27.87,26665,0,medium
27.99,26790,0,medium
28.10,26897,0,medium
28.21,27001,0,medium
28.31,27105,0,medium
28.41,27209,0,medium
28.52,27314,0,medium
28.63,27422,13,medium
28.73,27529,0,medium
28.84,27633,0,medium
28.94,27737,0,medium
29.05,27841,0,medium
29.15,27945,0,medium
29.27,28069,0,medium
29.38,28173,0,medium
29.48,28277,0,medium
29.59,28381,17,medium
29.69,28485,0,medium
29.79,28590,0,medium
29.90,28697,0,medium
30.01,28801,35,medium
30.11,28905,0,medium
30.21,29010,0,medium
30.32,29117,0,medium
30.43,29221,0,medium
30.55,29346,24,medium
30.66,29453,0,medium
30.76,29558,0,medium
30.87,29665,0,medium
30.97,29769,0,medium
31.08,29873,0,medium
31.18,29977,0,medium
31.29,30081,0,medium
31.39,30185,0,medium
31.49,30289,0,medium
31.60,30393,0,medium
31.70,30498,0,medium
31.83,30629,67,medium
31.94,30734,71,medium
32.05,30841,50,medium
32.15,30945,35,medium
32.25,31050,90,medium
32.36,31157,1,medium
32.47,31262,33,medium
32.57,31370,36,medium
32.68,31477,73,medium
32.79,31581,0,medium
32.89,31685,70,medium
32.99,31789,1,medium
33.12,31913,56,medium
33.22,32017,0,medium
33.33,32121,76,medium
33.43,32226,0,medium
33.54,32333,47,medium
33.64,32437,0,medium
33.75,32541,39,medium
33.85,32645,0,medium
33.95,32749,50,medium
34.06,32853,36,medium
34.16,32957,49,medium
34.27,33061,0,medium
34.39,33185,4,medium
34.49,33290,39,medium
34.60,33397,67,medium
34.71,33501,21,medium
34.81,33606,13,medium
34.92,33713,48,medium
35.02,33817,21,medium
35.13,33921,0,medium
35.23,34025,50,medium
35.33,34129,24,medium
35.44,34238,11,medium
35.55,34345,77,medium
35.67,34469,13,medium
35.78,34573,29,medium
35.88,34677,26,medium
35.99,34781,0,medium
36.09,34885,37,medium
36.19,34989,67,medium
36.30,35093,28,medium
36.40,35198,65,medium
36.51,35305,0,medium
36.61,35409,57,medium
36.72,35513,0,medium
36.85,35641,0,medium
36.95,35745,1,medium
37.05,35850,45,medium
37.16,35957,0,medium
37.27,36062,37,medium
37.37,36169,40,medium
37.48,36273,0,medium
37.58,36377,0,medium
37.69,36482,0,medium
37.79,36589,0,medium
37.90,36693,0,medium
38.00,36797,0,medium
38.13,36925,0,medium
38.24,37033,0,medium
38.34,37137,0,medium
38.45,37241,0,medium
38.55,37345,0,medium
38.65,37449,0,medium
38.76,37553,0,medium
38.86,37657,0,medium
38.97,37761,0,medium
39.07,37865,0,medium
39.17,37969,0,medium
39.28,38073,0,medium
39.38,38179,0,medium
39.61,38409,0,medium
39.72,38513,0,medium
39.82,38617,0,medium
39.93,38721,0,medium
40.03,38825,0,medium
40.13,38929,0,medium
40.24,39033,0,medium
40.34,39138,0,medium
40.45,39245,0,medium
40.55,39349,0,medium
40.66,39457,0,medium
40.77,39561,0,medium
40.89,39685,0,medium
40.99,39789,0,medium
41.10,39893,0,medium
41.20,39997,0,medium
41.31,40102,0,medium
41.41,40209,0,medium
41.52,40313,0,medium
41.62,40417,0,medium
41.73,40521,0,medium
41.83,40626,0,medium
41.94,40733,19,medium
42.04,40837,9,medium
42.17,40961,0,medium
42.27,41065,0,medium
42.37,41169,0,medium
42.48,41274,0,medium
42.59,41381,65,medium
42.69,41485,29,medium
42.79,41589,66,medium
42.90,41693,19,medium
43.01,41801,47,medium
43.11,41905,0,medium
43.21,42009,116,medium
43.32,42113,65,medium
43.44,42237,87,medium
43.55,42341,42,medium
43.65,42445,87,medium
43.75,42549,33,medium
43.86,42653,117,medium
43.96,42757,100,medium
44.07,42861,29,medium
44.17,42966,0,medium
44.28,43074,0,medium
44.39,43181,0,medium
44.49,43285,24,medium
44.62,43413,0,medium
44.72,43517,0,medium
44.83,43621,0,medium
44.93,43725,0,medium
45.03,43829,0,medium
45.14,43933,0,medium
45.24,44037,0,medium
45.35,44141,0,medium
45.45,44245,0,medium
45.55,44349,0,medium
45.66,44453,0,medium
45.76,44557,0,medium
45.87,44661,21,medium
45.99,44785,53,medium
46.09,44889,37,medium
46.20,44993,71,medium
46.30,45097,39,medium
46.41,45201,0,medium
46.51,45306,83,medium
46.62,45413,71,medium
46.72,45517,57,medium
46.83,45621,0,medium
46.93,45725,0,medium
47.04,45834,23,medium
47.17,45961,0,medium
47.27,46065,0,medium
47.37,46169,0,medium
47.48,46273,0,medium
47.58,46377,13,medium
47.69,46482,0,medium
47.79,46589,0,medium
47.90,46693,0,medium
48.00,46797,0,medium
48.11,46901,0,medium
48.21,47006,0,medium
48.32,47113,0,medium
48.43,47225,0,medium
48.55,47341,0,medium
48.65,47445,0,medium
48.75,47550,0,medium
48.86,47657,0,medium
48.97,47761,0,medium
49.07,47865,0,medium
49.17,47969,0,medium
49.28,48074,0,medium
49.39,48182,0,medium
49.49,48289,0,medium
49.60,48393,0,medium
49.70,48497,0,medium
49.83,48621,0,medium
49.93,48726,0,medium
50.04,48834,0,medium
50.15,48941,0,medium
50.25,49045,0,medium
50.35,49149,0,medium
50.46,49253,0,medium
50.56,49357,0,medium
50.67,49461,0,medium
50.77,49565,0,medium
50.87,49669,0,medium
50.98,49773,0,medium
51.10,49898,0,medium
51.21,50005,0,medium
